# VBA tblmatchdates data
# Paste data below:

MatchDatesID	League	week	MatchDate	Complete
1		1	18/09/2025	0
2		2	25/09/2025	0
3		3	02/10/2025	0
4		4	09/10/2025	0
5		5	16/10/2025	0
6		6	23/10/2025	0
7		7	30/10/2025	0
8		8	06/11/2025	0
9		9	13/11/2025	0
10		10	20/11/2025	0
11		11	27/11/2025	0
12		12	04/12/2025	0
13		13	11/12/2025	0
14		14	18/12/2025	0
15		15	08/01/2026	0
16		16	15/01/2026	0
17		17	22/01/2026	0
18		18	29/01/2026	0
19		19	05/02/2026	0
20		20	12/02/2026	0
21		21	19/02/2026	0
22		22	26/02/2026	0
23		23	03/03/2026	0
24		24	12/03/2026	0
25		25	19/03/2026	0
26		26	26/03/2026	0
