# VBA tblmatchdetail data
# Paste data below:

MatchDetailID	MatchNo	Player1	Player2	HomeScore	AwayScore	HomeVoid	AwayVoid	FrameNo	Achived8Ball
766	1	93	43	1	0	0	0	1	0
767	1	95	44	0	1	0	0	2	-1
768	1	75	45	0	1	0	0	3	0
769	1	96	99	0	1	0	0	4	0
770	1	97	59	1	0	0	0	5	0
771	1	98	43	1	0	0	0	6	0
772	1	53	44	0	1	0	0	7	0
773	1	93	45	1	0	0	0	8	0
774	1	95	59	0	1	0	0	9	0
775	1	97	99	1	0	0	0	10	0
776	1	75	44	0	1	0	0	11	0
777	1	98	99	0	1	0	0	12	0
778	1	53	45	0	1	0	0	13	-1
779	1	93	59	1	0	0	0	14	0
780	1	97	43	1	0	0	0	15	0
781	2	31	51	0	1	0	0	1	-1
782	2	11	49	0	1	0	0	2	0
783	2	13	42	0	1	0	0	3	0
784	2	33	100	0	1	0	0	4	0
785	2	101	40	1	0	0	0	5	0
786	2	31	42	0	1	0	0	6	0
787	2	11	51	1	0	0	0	7	0
788	2	13	100	1	0	0	0	8	0
789	2	33	49	0	1	0	0	9	0
790	2	101	100	1	0	0	0	10	0
791	2	13	40	0	1	0	0	11	0
792	2	11	42	1	0	0	0	12	0
793	2	31	49	1	0	0	0	13	0
794	2	33	40	0	1	0	0	14	0
795	2	101	51	0	1	0	0	15	0
796	3	90	2	0	1	0	0	1	0
797	3	85	5	0	1	0	0	2	0
798	3	86	63	1	0	0	0	3	0
799	3	87	4	0	1	0	0	4	0
800	3	90	3	1	0	0	0	5	0
801	3	85	2	1	0	0	0	6	0
802	3	78	5	1	0	0	0	7	0
803	3	81	63	0	1	0	0	8	0
804	3	77	4	0	1	0	0	9	0
805	3	86	3	1	0	0	0	10	0
806	3	78	63	0	1	0	0	11	0
807	3	87	5	0	1	0	0	12	0
808	3	81	4	1	0	0	0	13	0
809	3	77	3	1	0	0	0	14	0
810	3	86	2	1	0	0	0	15	0
811	4	39	89	0	1	0	0	1	0
812	4	72	65	0	1	0	0	2	0
813	4	46	23	1	0	0	0	3	0
814	4	60	66	1	0	0	0	4	0
815	4	73	24	1	0	0	0	5	0
816	4	46	89	0	1	0	0	6	0
817	4	39	66	0	1	0	0	7	0
818	4	72	24	1	0	0	0	8	0
819	4	46	65	0	1	0	0	9	0
820	4	60	23	1	0	0	0	10	0
821	4	73	89	0	1	0	0	11	0
822	4	72	66	1	0	0	0	12	0
823	4	60	65	1	0	0	0	13	0
824	4	39	24	1	0	0	0	14	0
825	4	73	23	1	0	0	0	15	0
826	5	19	102	0	1	0	0	1	0
827	5	67	103	1	0	0	0	2	0
828	5	22	10	0	1	0	0	3	0
829	5	20	102	1	0	0	0	4	0
830	5	106	104	0	1	0	0	5	0
831	5	21	105	0	1	0	0	6	0
832	5	19	10	1	0	0	0	7	0
833	5	67	105	1	0	0	0	8	0
834	5	22	102	1	0	0	0	9	0
835	5	20	104	1	0	0	0	10	0
836	5	67	10	1	0	0	0	11	0
