# VBA tblmatchfooter data
# Paste data below:

MatchFooterID	MatchNo	PenaltyHome	PenaltyAway	BonusHome	BonusAway	TotalHome	TotalAway	Penalty	CancelPenaltyAway	CancelPenalyHome
60	1	0	0	0	2	7	8	0	0	0
61	2	0	0	0	2	6	9	0	0	0
62	3	0	0	2	0	8	7	0	0	0
63	4	0	0	2	0	9	6	0	0	0
64	5	0	0	2	0	10	5	0	0	0
65	6	0	0	0	2	7	8	0	0	0
66	7	0	0	2	0	11	4	0	0	0
67	8	0	0	0	2	0	15	0	0	0
68	9	0	0	0	2	4	11	0	0	0
69	10	0	0	2	0	8	7	0	0	0
70	11	0	0	0	2	2	13	0	0	0
71	12	0	0	0	2	4	11	0	0	0
72	13	0	0	0	2	6	9	0	0	0
73	14	0	0	2	0	10	5	0	0	0
74	15	0	0	2	0	8	7	0	0	0
75	16	0	0	0	2	7	8	0	0	0
76	17	0	0	0	2	7	8	0	0	0
77	18	0	0	2	0	14	1	0	0	0
78	19	0	0	2	0	9	6	0	0	0
79	20	0	0	0	2	7	8	0	0	0
80	21	0	0	0	2	2	13	0	0	0
81	22	0	0	2	0	9	6	0	0	0
82	23	0	0	0	2	7	8	0	0	0
83	24	0	0	0	2	5	10	0	0	0
84	25	0	0	2	0	13	2	0	0	0
85	26	0	0	2	0	14	1	0	0	0
86	27	0	0	2	0	9	6	0	0	0
87	28	0	0	2	0	9	6	0	0	0
88	29	0	0	0	2	5	10	0	0	0
89	30	0	0	0	2	2	13	0	0	0
90	31	0	0	0	2	5	10	0	0	0
91	32	0	0	0	2	4	11	0	0	0
92	33	0	0	0	2	7	8	0	0	0
93	34	0	0	2	0	12	3	0	0	0
94	35	0	0	2	0	10	5	0	0	0
95	36	0	0	2	0	9	6	0	0	0
96	37	0	0	2	0	15	0	0	0	0
97	38	0	0	2	0	9	6	0	0	0
98	39	0	0	2	0	11	4	0	0	0
99	40	0	0	0	2	5	10	0	0	0
100	41	0	0	0	2	6	9	0	0	0
101	42	0	0	2	0	11	4	0	0	0
102	43	0	0	0	2	6	9	0	0	0
103	44	0	0	2	0	9	6	0	0	0
104	45	0	0	2	0	11	4	0	0	0
105	46	0	0	0	2	6	9	0	0	0
106	47	0	0	0	2	2	13	0	0	0
107	48	0	0	2	0	8	7	0	0	0
108	49	0	0	2	0	12	3	0	0	0
109	50	0	0	2	0	12	3	0	0	0
110	51	0	0	2	0	10	5	0	0	0
111	52	0	0	2	0	10	5	0	0	0
112	53	0	0	2	0	12	3	0	0	0
113	54	0	0	2	0	8	7	0	0	0
114	55	0	0	2	0	9	6	0	0	0
115	56	0	0	0	2	1	14	0	0	0
116	57	0	0	2	0	8	7	0	0	0
117	58	0	0	2	0	8	7	0	0	0
118	59	0	0	0	2	6	9	0	0	0
119	60	0	0	0	2	5	10	0	0	0
120	61	0	0	2	0	15	0	0	0	0
121	62	0	0	2	0	12	3	0	0	0
122	63	0	0	0	2	4	11	0	0	0
123	64	0	0	2	0	12	3	0	0	0
124	65	0	0	0	2	6	9	0	0	0
125	66	0	0	2	0	8	7	0	0	0
