# VBA tblteamresult data
# Paste data below:

TeamResultsID	MatchNo	WeekNo	TeamID	OppID	FramesWon	FramesLost	BonusPoints	PenaltyPoint
1	1	1	7	10	7	8	0	0
2	1	1	10	7	8	7	2	0
3	2	1	9	8	6	9	0	0
4	2	1	8	9	9	6	2	0
5	3	1	5	12	8	7	2	0
6	3	1	12	5	7	8	0	0
7	4	1	13	4	9	6	2	0
8	4	1	4	13	6	9	0	0
9	5	1	1	2	10	5	2	0
10	5	1	2	1	5	10	0	0
11	6	1	11	6	7	8	0	0
12	6	1	6	11	8	7	2	0
13	7	2	10	5	11	4	2	0
14	7	2	5	10	4	11	0	0
15	8	2	2	13	0	15	0	0
16	8	2	13	2	15	0	2	0
17	9	2	4	11	4	11	0	0
18	9	2	11	4	11	4	2	0
19	10	2	8	7	8	7	2	0
20	10	2	7	8	7	8	0	0
21	11	2	6	9	2	13	0	0
22	11	2	9	6	13	2	2	0
23	12	2	12	3	4	11	0	0
24	12	2	3	12	11	4	2	0
25	13	3	3	10	6	9	0	0
26	13	3	10	3	9	6	2	0
27	14	3	7	6	10	5	2	0
28	14	3	6	7	5	10	0	0
29	15	3	9	4	8	7	2	0
30	15	3	4	9	7	8	0	0
31	16	3	1	13	7	8	0	0
32	16	3	13	1	8	7	2	0
33	17	3	5	8	7	8	0	0
34	17	3	8	5	8	7	2	0
35	18	3	11	2	14	1	2	0
36	18	3	2	11	1	14	0	0
37	19	4	8	3	9	6	2	0
38	19	4	3	8	6	9	0	0
39	20	4	4	7	7	8	0	0
40	20	4	7	4	8	7	2	0
41	21	4	2	9	2	13	0	0
42	21	4	9	2	13	2	2	0
43	22	4	13	11	9	6	2	0
44	22	4	11	13	6	9	0	0
45	23	4	12	1	7	8	0	0
46	23	4	1	12	8	7	2	0
47	24	4	6	5	5	10	0	0
48	24	4	5	6	10	5	2	0
49	25	5	5	4	13	2	2	0
50	25	5	4	5	2	13	0	0
51	26	5	7	2	14	1	2	0
52	26	5	2	7	1	14	0	0
53	27	5	3	6	9	6	2	0
54	27	5	6	3	6	9	0	0
55	28	5	1	11	9	6	2	0
56	28	5	11	1	6	9	0	0
57	29	5	9	13	5	10	0	0
58	29	5	13	9	10	5	2	0
59	30	5	12	10	2	13	0	0
60	30	5	10	12	13	2	2	0
61	31	6	2	5	5	10	0	0
62	31	6	5	2	10	5	2	0
63	32	6	4	3	4	11	0	0
64	32	6	3	4	11	4	2	0
65	33	6	11	9	7	8	0	0
66	33	6	9	11	8	7	2	0
67	34	6	8	12	12	3	2	0
68	34	6	12	8	3	12	0	0
69	35	6	13	7	10	5	2	0
70	35	6	7	13	5	10	0	0
71	36	6	10	1	9	6	2	0
72	36	6	1	10	6	9	0	0
73	37	7	3	2	15	0	2	0
74	37	7	2	3	0	15	0	0
75	38	7	7	11	9	6	2	0
76	38	7	11	7	6	9	0	0
77	39	7	12	6	11	4	2	0
78	39	7	6	12	4	11	0	0
79	40	7	5	13	5	10	0	0
80	40	7	13	5	10	5	2	0
81	41	7	1	9	6	9	0	0
82	41	7	9	1	9	6	2	0
83	42	7	10	8	11	4	2	0
84	42	7	8	10	4	11	0	0
85	43	8	13	3	6	9	0	0
86	43	8	3	13	9	6	2	0
87	44	8	11	5	9	6	2	0
88	44	8	5	11	6	9	0	0
89	45	8	8	1	11	4	2	0
90	45	8	1	8	4	11	0	0
91	46	8	9	7	6	9	0	0
92	46	8	7	9	9	6	2	0
93	47	8	6	10	2	13	0	0
94	47	8	10	6	13	2	2	0
95	48	8	4	12	8	7	2	0
96	48	8	12	4	7	8	0	0
97	49	9	10	4	12	3	2	0
98	49	9	4	10	3	12	0	0
99	50	9	3	11	12	3	2	0
100	50	9	11	3	3	12	0	0
101	51	9	8	6	10	5	2	0
102	51	9	6	8	5	10	0	0
103	52	9	1	7	10	5	2	0
104	52	9	7	1	5	10	0	0
105	53	9	12	2	12	3	2	0
106	53	9	2	12	3	12	0	0
107	54	9	5	9	8	7	2	0
108	54	9	9	5	7	8	0	0
109	55	10	7	5	9	6	2	0
110	55	10	5	7	6	9	0	0
111	56	10	2	10	1	14	0	0
112	56	10	10	2	14	1	2	0
113	57	10	9	3	8	7	2	0
114	57	10	3	9	7	8	0	0
115	58	10	6	1	8	7	2	0
116	58	10	1	6	7	8	0	0
117	59	10	13	12	6	9	0	0
118	59	10	12	13	9	6	2	0
119	60	10	4	8	5	10	0	0
120	60	10	8	4	10	5	2	0
121	61	11	8	2	15	0	2	0
122	61	11	2	8	0	15	0	0
123	62	11	3	7	12	3	2	0
124	62	11	7	3	3	12	0	0
125	63	11	12	11	4	11	0	0
126	63	11	11	12	11	4	2	0
127	64	11	10	13	12	3	2	0
128	64	11	13	10	3	12	0	0
129	65	11	1	5	6	9	0	0
130	65	11	5	1	9	6	2	0
131	66	11	6	4	8	7	2	0
132	66	11	4	6	7	8	0	0
